⏱ 验证分片 8，共 102070 条规则
🚀 启动 50 并发验证，总共 102070 条规则
✅ 已验证 48000/102070 条, 本批有效 239, 累计有效 25379
✅ 已验证 48500/102070 条, 本批有效 230, 累计有效 25609
✅ 已验证 49000/102070 条, 本批有效 194, 累计有效 25803
✅ 已验证 49500/102070 条, 本批有效 230, 累计有效 26033
✅ 已验证 50000/102070 条, 本批有效 219, 累计有效 26252
✅ 已验证 50500/102070 条, 本批有效 225, 累计有效 26477
✅ 已验证 51000/102070 条, 本批有效 261, 累计有效 26738
✅ 已验证 51500/102070 条, 本批有效 232, 累计有效 26970
✅ 已验证 52000/102070 条, 本批有效 327, 累计有效 27297
✅ 已验证 52500/102070 条, 本批有效 361, 累计有效 27658
✅ 已验证 53000/102070 条, 本批有效 452, 累计有效 28110
✅ 已验证 53500/102070 条, 本批有效 474, 累计有效 28584
✅ 已验证 54000/102070 条, 本批有效 454, 累计有效 29038
✅ 已验证 54500/102070 条, 本批有效 458, 累计有效 29496
✅ 已验证 55000/102070 条, 本批有效 340, 累计有效 29836
✅ 已验证 55500/102070 条, 本批有效 278, 累计有效 30114
✅ 已验证 56000/102070 条, 本批有效 354, 累计有效 30468
✅ 已验证 56500/102070 条, 本批有效 211, 累计有效 30679
✅ 已验证 57000/102070 条, 本批有效 229, 累计有效 30908
✅ 已验证 57500/102070 条, 本批有效 129, 累计有效 31037
✅ 已验证 58000/102070 条, 本批有效 107, 累计有效 31144
✅ 已验证 58500/102070 条, 本批有效 148, 累计有效 31292
✅ 已验证 59000/102070 条, 本批有效 144, 累计有效 31436
✅ 已验证 59500/102070 条, 本批有效 97, 累计有效 31533
✅ 已验证 60000/102070 条, 本批有效 199, 累计有效 31732
✅ 已验证 60500/102070 条, 本批有效 216, 累计有效 31948
✅ 已验证 61000/102070 条, 本批有效 187, 累计有效 32135
✅ 已验证 61500/102070 条, 本批有效 228, 累计有效 32363
✅ 已验证 62000/102070 条, 本批有效 227, 累计有效 32590
✅ 已验证 62500/102070 条, 本批有效 244, 累计有效 32834
✅ 已验证 63000/102070 条, 本批有效 203, 累计有效 33037
✅ 已验证 63500/102070 条, 本批有效 137, 累计有效 33174
✅ 已验证 64000/102070 条, 本批有效 166, 累计有效 33340
✅ 已验证 64500/102070 条, 本批有效 338, 累计有效 33678
✅ 已验证 65000/102070 条, 本批有效 356, 累计有效 34034
✅ 已验证 65500/102070 条, 本批有效 366, 累计有效 34400
✅ 已验证 66000/102070 条, 本批有效 351, 累计有效 34751
✅ 已验证 66500/102070 条, 本批有效 361, 累计有效 35112
✅ 已验证 67000/102070 条, 本批有效 327, 累计有效 35439
✅ 已验证 67500/102070 条, 本批有效 347, 累计有效 35786
✅ 已验证 68000/102070 条, 本批有效 356, 累计有效 36142
✅ 已验证 68500/102070 条, 本批有效 495, 累计有效 36637
✅ 已验证 69000/102070 条, 本批有效 497, 累计有效 37134
✅ 已验证 69500/102070 条, 本批有效 486, 累计有效 37620
✅ 已验证 70000/102070 条, 本批有效 488, 累计有效 38108
✅ 已验证 70500/102070 条, 本批有效 493, 累计有效 38601
✅ 已验证 71000/102070 条, 本批有效 493, 累计有效 39094
✅ 已验证 71500/102070 条, 本批有效 491, 累计有效 39585
✅ 已验证 72000/102070 条, 本批有效 492, 累计有效 40077
✅ 已验证 72500/102070 条, 本批有效 490, 累计有效 40567
✅ 已验证 73000/102070 条, 本批有效 489, 累计有效 41056
✅ 已验证 73500/102070 条, 本批有效 472, 累计有效 41528
✅ 已验证 74000/102070 条, 本批有效 459, 累计有效 41987
✅ 已验证 74500/102070 条, 本批有效 440, 累计有效 42427
✅ 已验证 75000/102070 条, 本批有效 231, 累计有效 42658
✅ 已验证 75500/102070 条, 本批有效 236, 累计有效 42894
✅ 已验证 76000/102070 条, 本批有效 223, 累计有效 43117
✅ 已验证 76500/102070 条, 本批有效 210, 累计有效 43327
✅ 已验证 77000/102070 条, 本批有效 187, 累计有效 43514
✅ 已验证 77500/102070 条, 本批有效 122, 累计有效 43636
✅ 已验证 78000/102070 条, 本批有效 227, 累计有效 43863
✅ 已验证 78500/102070 条, 本批有效 234, 累计有效 44097
✅ 已验证 79000/102070 条, 本批有效 242, 累计有效 44339
✅ 已验证 79500/102070 条, 本批有效 221, 累计有效 44560
✅ 已验证 80000/102070 条, 本批有效 214, 累计有效 44774
✅ 已验证 80500/102070 条, 本批有效 263, 累计有效 45037
✅ 已验证 81000/102070 条, 本批有效 206, 累计有效 45243
✅ 已验证 81500/102070 条, 本批有效 214, 累计有效 45457
✅ 已验证 82000/102070 条, 本批有效 209, 累计有效 45666
✅ 已验证 82500/102070 条, 本批有效 190, 累计有效 45856
✅ 已验证 83000/102070 条, 本批有效 279, 累计有效 46135
✅ 已验证 83500/102070 条, 本批有效 240, 累计有效 46375
✅ 已验证 84000/102070 条, 本批有效 199, 累计有效 46574
✅ 已验证 84500/102070 条, 本批有效 242, 累计有效 46816
✅ 已验证 85000/102070 条, 本批有效 248, 累计有效 47064
✅ 已验证 85500/102070 条, 本批有效 205, 累计有效 47269
✅ 已验证 86000/102070 条, 本批有效 220, 累计有效 47489
✅ 已验证 86500/102070 条, 本批有效 261, 累计有效 47750
✅ 已验证 87000/102070 条, 本批有效 264, 累计有效 48014
✅ 已验证 87500/102070 条, 本批有效 217, 累计有效 48231
✅ 已验证 88000/102070 条, 本批有效 223, 累计有效 48454
✅ 已验证 88500/102070 条, 本批有效 224, 累计有效 48678
✅ 已验证 89000/102070 条, 本批有效 259, 累计有效 48937
✅ 已验证 89500/102070 条, 本批有效 220, 累计有效 49157
✅ 已验证 90000/102070 条, 本批有效 231, 累计有效 49388
✅ 已验证 90500/102070 条, 本批有效 173, 累计有效 49561
✅ 已验证 91000/102070 条, 本批有效 289, 累计有效 49850
✅ 已验证 91500/102070 条, 本批有效 156, 累计有效 50006
✅ 已验证 92000/102070 条, 本批有效 182, 累计有效 50188
✅ 已验证 92500/102070 条, 本批有效 111, 累计有效 50299
✅ 已验证 93000/102070 条, 本批有效 89, 累计有效 50388
✅ 已验证 93500/102070 条, 本批有效 156, 累计有效 50544
✅ 已验证 94000/102070 条, 本批有效 177, 累计有效 50721
✅ 已验证 94500/102070 条, 本批有效 152, 累计有效 50873
✅ 已验证 95000/102070 条, 本批有效 175, 累计有效 51048
✅ 已验证 95500/102070 条, 本批有效 104, 累计有效 51152
✅ 已验证 96000/102070 条, 本批有效 171, 累计有效 51323
✅ 已验证 96500/102070 条, 本批有效 182, 累计有效 51505
✅ 已验证 97000/102070 条, 本批有效 227, 累计有效 51732
✅ 已验证 97500/102070 条, 本批有效 192, 累计有效 51924
✅ 已验证 98000/102070 条, 本批有效 246, 累计有效 52170
✅ 已验证 98500/102070 条, 本批有效 189, 累计有效 52359
✅ 已验证 99000/102070 条, 本批有效 208, 累计有效 52567
✅ 已验证 99500/102070 条, 本批有效 207, 累计有效 52774
✅ 已验证 100000/102070 条, 本批有效 253, 累计有效 53027
✅ 已验证 100500/102070 条, 本批有效 169, 累计有效 53196
✅ 已验证 101000/102070 条, 本批有效 193, 累计有效 53389
✅ 已验证 101500/102070 条, 本批有效 207, 累计有效 53596
✅ 已验证 102000/102070 条, 本批有效 209, 累计有效 53805
✅ 已验证 102070/102070 条, 本批有效 33, 累计有效 53838
✅ 分片验证完成，总有效 53838 条
✅ 分片 8 完成: 总 102757, 新增 16, 删除 0
COMMIT_STATS: 总 102757, 新增 16, 删除 0
